"circleX","circleY","clickX","clickY","dimensions__width","dimensions__height","timeTaken","displacement","radius"
"934","674","884","630","66","66","0.652","347.5471191076111","33"
"1173","628","1133","591","79","79","1.274","1330.531096968425","39.5"
"130","337","117","323","43","43","0.975","1082.834244009673","21.5"
"279","585","265","569","29","29","1.09","289.31816396486414","14.5"
"519","89","504","60","58","58","1.014","551.013611447122","29"
"987","726","972","700","54","54","1.086","790.4384859051336","27"
"992","430","946","384","104","104","0.893","296.04222671774374","52"
"229","540","211","517","33","33","1.166","770.8884484800639","16.5"
"612","721","586","680","68","68","0.907","423.6153915995027","34"
"1038","152","1017","111","79","79","0.847","710.8002532357456","39.5"
"367","612","352","592","32","32","2.63","813.5361086024393","16"
"1030","359","1019","345","45","45","1.019","709.6322991521736","22.5"
"507","516","497","505","29","29","1.093","546.0567736050896","14.5"
"840","590","780","544","118","118","0.834","341.1231449198368","59"
"778","399","721","345","109","109","0.933","200.81085628023203","54.5"
"690","170","670","154","38","38","0.954","245.3263133053607","19"
"700","272","641","218","111","111","0.871","102.48902380255166","55.5"
"712","411","663","359","111","111","0.741","139.51702405083043","55.5"
"594","509","576","486","42","42","0.92","153.3883959105121","21"
"701","277","641","214","115","115","0.901","255.48581173912575","57.5"
"921","734","903","715","51","51","1.155","507.1972003077304","25.5"
